{
  {73.1395505989015, 80.86449105824617, 68.94457333619599, 1.3003219721620884, 75.5259438075198, 39.44017213756107, 1.278232790113576, 68.79301280212721, 81.12318541013421, 68.36644036537457, 40.24411413817711, 24.312381166255335, 69.58026822691511, 22.82460300417165, 52.581627247523464, 62.36386741299525},
  {33.31336301346324, 42.41099785612591, 16.325068247127394, 14.795884290594941, 57.286076928250175, 62.04096286717879, 2.1083127805703428, 36.5718003076015, 91.95465284446871, 39.83549067268514, 51.27481199584071, 10.71696566455148, 43.70148384198029, 49.31750581794373, 15.304878752350081, 49.03025574658362},
  {45.31194488617945, 72.50496089666959, 35.0867359389969, 29.380571795845256, 5.32147976807662, 71.79392854304885, 30.125905594033174, 30.250614315842117, 20.88357898377693, 3.0180411243006744, 32.81350886413739, 91.07821969865675, 33.096594494392185, 23.23146697470865, 20.544355013070238, 14.437530644887387},
  {54.01034968418264, 42.42512321508477, 76.80841681815666, 6.153131327232952, 8.460072955374686, 46.78807318424377, 68.48807667956625, 59.83072701395675, 1.2596736084515947, 80.62492443896974, 5.294583168190847, 67.11321211374664, 72.84438207742873, 5.499942852407669, 97.19163756967977, 28.261955764131674},
  {3.6030105175331673, 71.87832138548825, 21.230942441061273, 85.72027041038089, 2.583808020608036, 13.649889295676243, 66.84894518188041, 56.949727877837745, 60.72074335140544, 77.06394100917774, 17.64328682571855, 3.949848954626156, 99.52509053774465, 89.08041101983184, 65.29273369129876, 7.528479316203784},
  {61.07269263932289, 70.6166597194992, 89.23155798173016, 63.59852274136975, 85.39047349675917, 4.507074473416484, 21.246296329924174, 55.92766410692755, 34.99390610041302, 96.94583341317734, 48.379683817980926, 53.883391091341004, 10.29507517778956, 48.821979634254, 48.68009744655981, 87.11048853474799},
  {78.50872650958658, 12.606343070907522, 66.21495034712997, 52.67776656265497, 38.94208002498038, 62.19386190661671, 13.648109952647868, 31.350007170148697, 82.0977463851179, 4.185304369905052, 58.25168708794809, 99.56263380886709, 20.389209738872182, 70.32956987427121, 31.738700085041383, 93.01269410937496},
  {67.40452819481435, 37.6351515679408, 1.2448004002162727, 87.73209334268434, 69.26819974716764, 48.82817861287372, 2.873270241117687, 80.74982702719929, 72.01602700270368, 39.90615208266735, 10.886152700815021, 90.36476215876776, 61.741009426493285, 54.197741523516555, 84.84434708834527, 3.251724847918447},
  {57.020215870749546, 98.40164684317541, 89.51081036904249, 2.5912176662219677, 50.6842541609892, 71.70972577888344, 0.12841912483008144, 44.23265968694727, 86.1727505740885, 38.877422465911614, 2.014348415652212, 25.172262755795426, 55.55669679640438, 90.0312488360166, 37.85429311259636, 46.837458657650586},
  {22.802159747777495, 86.7451531245045, 68.91903661472182, 46.92300960317991, 63.83726352012103, 83.75258930299198, 64.19807437761989, 98.18842495007755, 35.03043430203244, 75.49520662770954, 0.009956570539770837, 35.61113724008693, 29.842777006963505, 31.810018312208697, 97.29806257458719, 78.61304085398328},
  {94.83909178420382, 99.72517746556996, 37.04163010998597, 48.14714927496036, 24.069238120086833, 81.0502099318245, 52.37109170836434, 65.49857178937141, 6.692375407033568, 9.240169824283374, 84.53534229456888, 80.36004829787518, 28.87538102813052, 67.88924751480366, 88.94742243079483, 1.6180632037375742},
  {15.504445523687671, 8.470283036180327, 1.0854553283119461, 40.73747226878246, 3.1119950014439346, 98.61229683900278, 10.70621392279566, 48.912068778627194, 60.74522180279407, 95.58525663962514, 29.304732475811047, 63.641669188414404, 93.20060403696303, 80.19415770172509, 55.65517899693698, 72.25745798478826},
  {82.6336460168087, 56.91214068031646, 45.76686142537155, 16.357434949297577, 63.12439538448659, 90.95951203980015, 82.4431869569732, 97.87114422036562, 34.66062653413825, 12.71020412140329, 45.61161857499177, 44.70490567346028, 15.808647564001754, 11.133875673223482, 63.972007046993596, 46.386696388254315},
  {0.08230426858687467, 84.97731434984878, 74.68297667942416, 13.97285891719755, 16.50264381490939, 12.134204588280939, 63.37082099114618, 95.2046561112629, 83.79767272533837, 51.286193144590484, 43.62457008622896, 19.63676182953673, 71.58115688957565, 11.536751966584458, 10.231350228587367, 19.74425437742109},
  {36.24943597393817, 78.28984617144505, 45.761958580194985, 39.382779246639934, 73.58758587883374, 65.68631872406772, 74.19704240701792, 34.99313251653907, 49.88865685888897, 97.2837688267511, 17.93715321606877, 39.34124984446113, 32.042881210955585, 46.56464383256173, 64.31167010677825, 60.537503923298374},
  {50.65142957303483, 93.49337452064515, 97.90467245086808, 6.623919968012604, 99.28952325674649, 93.18786550182102, 37.92199517379902, 58.935076008868414, 56.99940839853931, 19.533317683684192, 69.78163822101153, 42.832822063398915, 59.47540748506369, 12.81300382799796, 64.38268330322575, 76.9216247566353}
}
